name,a_symbol,a_market,h_symbol,expected_a_csv,expected_h_csv
海螺水泥,600585,SSE,914,"SSE_DLY_600585, 1D.csv","HKEX_DLY_914, 1D.csv"
安徽皖通高速公路,600012,SSE,995,"SSE_DLY_600012, 1D.csv","HKEX_DLY_995, 1D.csv"
福耀玻璃,600660,SSE,3606,"SSE_DLY_600660, 1D.csv","HKEX_DLY_3606, 1D.csv"
中國光大銀行,601818,SSE,6818,"SSE_DLY_601818, 1D.csv","HKEX_DLY_6818, 1D.csv"
中國神華,601088,SSE,1088,"SSE_DLY_601088, 1D.csv","HKEX_DLY_1088, 1D.csv"
紫金礦業,601899,SSE,2899,"SSE_DLY_601899, 1D.csv","HKEX_DLY_2899, 1D.csv"
交通銀行,601328,SSE,3328,"SSE_DLY_601328, 1D.csv","HKEX_DLY_3328, 1D.csv"
中國平安,601318,SSE,2318,"SSE_DLY_601318, 1D.csv","HKEX_DLY_2318, 1D.csv"
藥明康德,603259,SSE,2359,"SSE_DLY_603259, 1D.csv","HKEX_DLY_2359, 1D.csv"
招商銀行,600036,SSE,3968,"SSE_DLY_600036, 1D.csv","HKEX_DLY_3968, 1D.csv"
浙江世寶,002703,SZSE,1057,"SZSE_DLY_2703, 1D.csv","HKEX_DLY_1057, 1D.csv"
弘業期貨,001236,SZSE,3678,"SZSE_DLY_1236, 1D.csv","HKEX_DLY_3678, 1D.csv"
龍源電力,001289,SZSE,916,"SZSE_DLY_1289, 1D.csv","HKEX_DLY_916, 1D.csv"
晨鳴紙業,000488,SZSE,1812,"SZSE_DLY_488, 1D.csv","HKEX_DLY_1812, 1D.csv"
山東新華製藥股份,000756,SZSE,719,"SZSE_DLY_756, 1D.csv","HKEX_DLY_719, 1D.csv"
海普瑞,002399,SZSE,9989,"SZSE_DLY_2399, 1D.csv","HKEX_DLY_9989, 1D.csv"
金風科技,002202,SZSE,2208,"SZSE_DLY_2202, 1D.csv","HKEX_DLY_2208, 1D.csv"
東江環保,002672,SZSE,895,"SZSE_DLY_2672, 1D.csv","HKEX_DLY_895, 1D.csv"
鄭州銀行,002936,SZSE,6196,"SZSE_DLY_2936, 1D.csv","HKEX_DLY_6196, 1D.csv"
申萬宏源,000166,SZSE,6806,"SZSE_DLY_166, 1D.csv","HKEX_DLY_6806, 1D.csv"
金力永磁,300748,SZSE,6680,"SZSE_DLY_300748, 1D.csv","HKEX_DLY_6680, 1D.csv"
鞍鋼股份,000898,SZSE,347,"SZSE_DLY_898, 1D.csv","HKEX_DLY_347, 1D.csv"
中興通訊,000063,SZSE,763,"SZSE_DLY_63, 1D.csv","HKEX_DLY_763, 1D.csv"
山東墨龍,002490,SZSE,568,"SZSE_DLY_2490, 1D.csv","HKEX_DLY_568, 1D.csv"
天齊鋰業,002466,SZSE,9696,"SZSE_DLY_2466, 1D.csv","HKEX_DLY_9696, 1D.csv"
康龍化成,300759,SZSE,3759,"SZSE_DLY_300759, 1D.csv","HKEX_DLY_3759, 1D.csv"
中國廣核電力股份,003816,SZSE,1816,"SZSE_DLY_3816, 1D.csv","HKEX_DLY_1816, 1D.csv"
廣發証券,000776,SZSE,1776,"SZSE_DLY_776, 1D.csv","HKEX_DLY_1776, 1D.csv"
泰格醫藥,300347,SZSE,3347,"SZSE_DLY_300347, 1D.csv","HKEX_DLY_3347, 1D.csv"
凱萊英醫藥,002821,SZSE,6821,"SZSE_DLY_2821, 1D.csv","HKEX_DLY_6821, 1D.csv"
萬科企業股份,000002,SZSE,2202,"SZSE_DLY_2, 1D.csv","HKEX_DLY_2202, 1D.csv"
贛鋒鋰業,002460,SZSE,1772,"SZSE_DLY_2460, 1D.csv","HKEX_DLY_1772, 1D.csv"
麗珠醫藥集團,000513,SZSE,1513,"SZSE_DLY_513, 1D.csv","HKEX_DLY_1513, 1D.csv"
青島銀行,002948,SZSE,3866,"SZSE_DLY_2948, 1D.csv","HKEX_DLY_3866, 1D.csv"
海信家電集團,000921,SZSE,921,"SZSE_DLY_921, 1D.csv","HKEX_DLY_921, 1D.csv"
比亞迪股份,002594,SZSE,1211,"SZSE_DLY_2594, 1D.csv","HKEX_DLY_1211, 1D.csv"
中集集團,000039,SZSE,2039,"SZSE_DLY_39, 1D.csv","HKEX_DLY_2039, 1D.csv"
中聯重科,000157,SZSE,1157,"SZSE_DLY_157, 1D.csv","HKEX_DLY_1157, 1D.csv"
美的集團,000333,SZSE,300,"SZSE_DLY_333, 1D.csv","HKEX_DLY_300, 1D.csv"
濰柴動力,000338,SZSE,2338,"SZSE_DLY_338, 1D.csv","HKEX_DLY_2338, 1D.csv"
寧德時代,300750,SZSE,3750,"SZSE_DLY_300750, 1D.csv","HKEX_DLY_3750, 1D.csv"
